bloco;layout;col_b_raw;brand;category;descricao;rg;codigo_fabrica;status;tabela_bruta;multipl_desconto;custo;VENDA_DIRETA_MS;MS_DDOS;MS_DDOS_PRAZO;MS_ANDREI;SP_SP;SP_OUTROS;SP_RJ_MG_SUL;SP_MONTAGEM;OUTROS_ES;MG_RJ_SUL;DOURADOS_MS;flags
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;DCA2 7.500 CARDAN PNEUS  11L15 EST 500 - 80 CV;35773;109090019;SD AND;77172;0.4505;33090;;47980.5;48990;45300;43347.9;44340.6;45664.2;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;DCCO (LARGA) 7.500 CARDAN PNEUS 11L15 EST 800 - 90 CV;50697;109090047;;84222;0.4505;36110;;52359.5;;51276.2;47304.1;48387.4;49831.8;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA  6.000 ""INOX"" HIDRÁULICA EST 500 PN 11L15 80 CV";52219;109090412;;80656;0.4505;34590;;50990;53029.6;49900;45900;46900;47900;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA  8.000 ""INOX"" ACION CARDAN EST 500 PN 11L15 - 90 CV";51092;109090445;SD AND;89924;0.4505;38560;;56990;59990;53700;50900;51900;53900;;;;;PRECO_MANUAL
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA  8.000 ""INOX"" HIDRÁULICA EST 500 PN 11L15 - 90 CV";51096;109090458;;96067;0.4505;41190;;60590;63013.6;58900;54900;55900;57900;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCCO (LARGA) 8.000 ""INOX"" CARDAN EST 800 PN 11L15 - 90 CV";53667;109090478;;98181;;42103;;62990;;59900;55900;56900;59500;;;;;PRECO_MANUAL
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCCO (LARGA) 8.000 ""INOX"" HIDRÁULICA EST 800 PN 11L15 - 90 CV";51122;109090367;;104185;0.4505;44670;;64771.5;69990;63431.399999999994;58517.7;59857.8;61644.6;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA2 10.500 HIDRÁULICA PNEUS 24"" EST 500 - 110 CV";50694;109090215;;134779;0.4505;57890;;83940.5;89400;82203.8;75835.9;77572.6;79888.2;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA2 10.500 CARDAN PNEUS 24"" EST 500 - 110 CV";50738;109090049;;127869;0.4505;54830;;79503.5;78990;77858.6;71827.3;73472.2;75665.4;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;DCCO (LARGA) 10.500 HIDRÁUL PNEUS 24” EST 800 PN 400/60 - 110 CV;42028;109090331;;137195;0.4505;58830;;85303.5;89990;83538.6;77067.3;78832.2;81185.4;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 11.000 ""INOX"" CARDAN EST 500 - 110 CV";51097;109090457;SD AND;137469;0.4505;58940;;85463;88881.52;81000;77211.4;78979.6;81337.2;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 11.000 ""INOX"" HIDRÁULICA EST 500 - 110 CV";51093;109090490;;144743;0.4505;62070;;90001.5;93601.56;88139.4;81311.7;83173.8;85656.6;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCCO (LARGA) 11.000 ""INOX"" HIDRÁULICA  EST 800 - 110 CV";51113;109090498;;152054;0.4505;65200;;94540;99990;92584;85412;87368;89976;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 11.000 ""INOX"" ACIO HIDR EST TRAV """"BITOLA REGULÁVEL 3,30 M""""";53144;109090682;;181551;0.4505;77840;;112868;;110532.8;101970.4;104305.6;107419.2;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 12T ""TATU"" ISOBUS SEM TELA - BIT 3,30 M   (TELA CONSULTAR)";51130;109090694;;442351;0.4505;189650;;274900;331990;269900;248900;254900;261900;;;;;PRECO_MANUAL
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 15T ""CIVEMASA"" ISOBUS SEM TELA - BIT 3,30  (TELA CONSULTAR)";49741;121740061;LQ REFA;474594;0.4505;203480;;;;;;;;;;;;
B1_MS;B;CALCAREADEIRA;;CALCAREADEIRA;"DCA 15 T TATU ""TAXA VARIÁVEL  COMP COM TELA       *LQ REFATURAM*";51316;109090520;;514240;0.4651;239170;;329750;327590;311900;;;;;;;;PRECO_MANUAL
B2_MS;B;TERRACEADOR;;TERRACEADOR;TCL 16X26 – 110 CV;35770;120810009;;91018;0.4505;39032;;56596.4;;55425.44;51131.92;52302.880000000005;53864.16;;;;;
B2_MS;B;TERRACEADOR;;TERRACEADOR;TCL 18X26 – 125 CV;35771;120810010;;97490;0.4505;41806;;60618.7;63043.448;59364.520000000004;54765.86;56020.04;57692.28;;;;;
